s	rpm	V	V	l/min	bar
Time  Spider8_1 CH=1	n CH=2	U_ster CH=3	Znacznik CH=4	Q CH=5	p CH=8
0,0554	2481,5	5,945226316	10,01	12,35222748	7,359999972
0,0556	2481,5	5,945230332	10,01	12,3463419	7,374249308
0,0558	2481,5	5,945298242	10,01	12,34403485	7,387375443
0,0561	2481,5	5,945397729	10,01	12,34684915	7,393105133
0,0563	2481,5	5,945498996	10,01	12,34751142	7,392524876
0,0565	2481,5	5,945665862	10,01	12,34577391	7,387119678
0,0567	2481,5	5,94599013	10,01	12,34281185	7,380761771
0,0569	2481,5	5,946357154	10,01	12,34312656	7,381220339
0,0571	2481,5	5,946622437	10,01	12,34796848	7,389116018
0,0573	2481,731629	5,946684228	10,01	12,35036134	7,402390457
0,0575	2482,299681	5,946592128	10,01	12,34995294	7,416484372
0,0577	2483,250298	5,946505588	10,01	12,34775967	7,424710795
0,0579	2484,450617	5,946458421	10,01	12,34808773	7,430084117
0,0581	2485,650937	5,946467248	10,01	12,35276039	7,431898914
0,0583	2486,601554	5,946496789	10,01	12,35425538	7,433574752
0,0586	2487,169605	5,946510068	10,01	12,3525476	7,437493029
0,0588	2487,401235	5,946589153	10,01	12,3490453	7,442955616
0,059	2487,5	5,94676656	10,01	12,34811653	7,449506173
0,0592	2487,5	5,946974977	10,01	12,35162431	7,455971484
0,0594	2487,5	5,947074133	10,01	12,35247297	7,461419001
0,0596	2487,5	5,946957645	10,01	12,3504999	7,467376543
0,0598	2487,5	5,946728922	10,01	12,34725286	7,473257663
0,06	2487,5	5,946483444	10,01	12,34689814	7,47823267
0,0602	2487,5	5,946290248	10,01	12,35180227	7,482405527
0,0604	2487,5	5,946118997	10,01	12,35396167	7,485090365
0,0606	2487,5	5,94591185	10,01	12,35101478	7,485100316
0,0608	2487,5	5,945717347	10,01	12,34503648	7,485286977
0,0611	2487,5	5,94561572	10,01	12,34103406	7,486868774
0,0613	2487,5	5,945690051	10,01	12,34343616	7,489375745
0,0615	2487,5	5,945918944	10,01	12,34477165	7,493579871
0,0617	2487,5	5,94605734	10,01	12,34271155	7,495437594
0,0619	2487,712327	5,94601418	10,01	12,3384397	7,497607259
0,0621	2488,233041	5,945804797	10,01	12,33574037	7,500997606
0,0623	2489,10444	5,9455833	10,01	12,33817249	7,503868004
0,0625	2490,204733	5,945452567	10,01	12,34030725	7,50851849
0,0627	2491,305025	5,945373113	10,01	12,33899719	7,514990049
0,0629	2492,176424	5,945307439	10,01	12,33599592	7,519274329
0,0631	2492,697138	5,94521551	10,01	12,33441088	7,524214077
0,0633	2492,909465	5,945147563	10,01	12,33843778	7,53053389
0,0636	2493	5,945239898	10,01	12,34180931	7,53875149
0,0638	2493	5,945475848	10,01	12,33936289	7,548881918
0,064	2493	5,945638434	10,01	12,33295857	7,559883514
0,0642	2493	5,945594904	10,01	12,32748432	7,567365492
0,0644	2493	5,945344538	10,01	12,32824579	7,572535955
0,0646	2493	5,945007094	10,01	12,33113892	7,575594143
0,0648	2493,540468	5,944695942	10,01	12,33085196	7,579834341
0,065	2494,865922	5,944442632	10,01	12,32794616	7,585388421
0,0652	2497,084029	5,944274553	10,01	12,32484884	7,593942142
0,0654	2499,884774	5,944160984	10,01	12,32642247	7,606388861
0,0656	2502,685519	5,944146057	10,01	12,32991551	7,619507329
0,0658	2504,903626	5,944326343	10,01	12,32989554	7,630733394
0,0661	2506,229079	5,94463579	10,01	12,32751123	7,641207318
0,0663	2506,769547	5,944861635	10,01	12,32534732	7,64978207
0,0665	2507	5,944838449	10,01	12,32790947	7,656374975
0,0667	2507	5,944591759	10,01	12,33213284	7,662718654
0,0669	2507	5,944276666	10,01	12,33174653	7,672678562
0,0671	2507	5,94400124	10,01	12,32811673	7,683147424
0,0673	2507	5,943835378	10,01	12,32397104	7,694212949
0,0675	2507	5,943743175	10,01	12,32456477	7,705971484
0,0677	2507	5,943715008	10,01	12,32845929	7,715809816
0,0679	2507	5,943763047	10,01	12,32862166	7,723478455
0,0681	2507	5,943988624	10,01	12,325973	7,728508567
0,0683	2507	5,944349794	10,01	12,32249873	7,729349624
0,0686	2507	5,944653351	10,01	12,32327914	7,730070175
0,0688	2507	5,944768797	10,01	12,32733656	7,731214407
0,069	2507	5,94468794	10,01	12,32632913	7,734215205
0,0692	2507	5,944569349	10,01	12,32053571	7,739274301
0,0694	2507,463258	5,944509973	10,01	12,31296007	7,744758205
0,0696	2508,599361	5,944516461	10,01	12,30975012	7,753760285
0,0698	2510,500596	5,944561554	10,01	12,31238977	7,766532652
0,07	2512,901235	5,944613608	10,01	12,31249305	7,782426558
0,0702	2515,301873	5,944707479	10,01	12,30914702	7,801494295
0,0704	2517,203108	5,944975043	10,01	12,30404028	7,82104565
0,0706	2518,339211	5,945406698	10,01	12,30214003	7,835723471
0,0708	2518,802469	5,945866853	10,01	12,30602382	7,844797169
0,0711	2519	5,946123441	10,01	12,30790789	7,851966805
0,0713	2519	5,946099621	10,01	12,30611545	7,861376075
0,0715	2519	5,945913887	10,01	12,30195508	7,870745601
0,0717	2519	5,945678146	10,01	12,29991267	7,883086044
0,0719	2519	5,945442963	10,01	12,30369274	7,89548162
0,0721	2519	5,945277935	10,01	12,30535708	7,908463385
0,0723	2519	5,945157602	10,01	12,30075252	7,919964797
0,0725	2519	5,94509889	10,01	12,29208815	7,934455872
0,0727	2519	5,945183326	10,01	12,2848796	7,949219196
0,0729	2519	5,945434231	10,01	12,28537247	7,962843121
0,0731	2518,28581	5,945722368	10,01	12,28779725	7,97140795
0,0733	2516,534318	5,945833098	10,01	12,28621926	7,976434071
0,0736	2513,603248	5,945726678	10,01	12,28102926	7,978010749
0,0738	2509,902263	5,945479192	10,01	12,27513421	7,980665446
0,074	2506,201279	5,94520852	10,01	12,27502478	7,990236647
0,0742	2503,270209	5,944958421	10,01	12,27804482	8,007852466
0,0744	2501,518716	5,944777935	10,01	12,27726376	8,027038165
0,0746	2500,804527	5,94468898	10,01	12,27332113	8,050682223
0,0748	2500,5	5,944701796	10,01	12,26838325	8,07248085
0,075	2500,5	5,944898666	10,01	12,26814833	8,094656503
0,0752	2500,5	5,945314902	10,01	12,27203148	8,119033376
0,0754	2500,5	5,945786129	10,01	12,27119332	8,146922779
0,0756	2500,5	5,946072258	10,01	12,26549357	8,176463055
0,0758	2500,5	5,946064861	10,01	12,25709695	8,205536781
0,0761	2500,5	5,945887358	10,01	12,2528031	8,234106414
0,0763	2500,5	5,945676639	10,01	12,2549045	8,260649304
0,0765	2500,5	5,945515324	10,01	12,25480642	8,283068745
0,0767	2500,5	5,945471131	10,01	12,25024599	8,303582734
0,0769	2500,5	5,945515589	10,01	12,24298546	8,321519317
0,0771	2500,5	5,945651579	10,01	12,23790379	8,340568863
0,0773	2500,5	5,945919977	10,01	12,23989843	8,361037697
0,0775	2500,5	5,946395455	10,01	12,24105597	8,388079768
0,0777	2499,86302	5,946928142	10,01	12,23530093	8,41397743
0,0779	2498,300878	5,947290108	10,01	12,22414485	8,437690276
0,0781	2495,68668	5,947352363	10,01	12,21326313	8,460431347
0,0783	2492,385802	5,947175362	10,01	12,21110677	8,48551373
0,0786	2489,084924	5,946860232	10,01	12,21375877	8,51848922
0,0788	2486,470727	5,946505758	10,01	12,21166765	8,558475621
0,079	2484,908585	5,946235816	10,01	12,20224056	8,602034753
0,0792	2484,271605	5,946062964	10,01	12,18902853	8,64571751
0,0794	2484	5,945991637	10,01	12,18126494	8,684049053
0,0796	2484	5,946084806	10,01	12,18230755	8,72122213
0,0798	2484	5,946346782	10,01	12,18308122	8,757874103
0,08	2484	5,946712129	10,01	12,17672239	8,800481333
0,0802	2484	5,946923928	10,01	12,1636514	8,847214903
0,0804	2484	5,946850857	10,01	12,15143554	8,897609863
0,0806	2484	5,946578849	10,01	12,14813647	8,952253839
0,0808	2484	5,946164194	10,01	12,15026584	9,007801671
0,0811	2484	5,945729328	10,01	12,14707548	9,064961413
0,0813	2484	5,945393286	10,01	12,13150665	9,126568203
0,0815	2484,019302	5,945192863	10,01	12,10775151	9,192303853
0,0817	2484,06664	5,945137163	10,01	12,0877022	9,263522251
0,0819	2484,145858	5,94522394	10,01	12,0790114	9,336974557
0,0821	2484,245885	5,94548441	10,01	12,07742596	9,412674106
0,0823	2484,345911	5,945846915	10,01	12,07188985	9,487074872
0,0825	2484,425129	5,946062559	10,01	12,05489586	9,56117472
0,0827	2484,472467	5,946006451	10,01	12,02914124	9,637503328
0,0829	2484,49177	5,945756587	10,01	12,00656005	9,72240414
0,0831	2484,5	5,945397501	10,01	11,99524352	9,815978921
0,0833	2484,5	5,945022551	10,01	11,99214162	9,920862435
0,0836	2484,5	5,944739197	10,01	11,98668412	10,03511061
0,0838	2484,5	5,944559583	10,01	11,9697698	10,15766277
0,084	2484,5	5,944502377	10,01	11,94006121	10,28775796
0,0842	2484,5	5,9445645	10,01	11,90474794	10,42578491
0,0844	2484,5	5,944816237	10,01	11,87509823	10,57541637
0,0846	2484,5	5,945169176	10,01	11,85663893	10,73996885
0,0848	2484,5	5,945388666	10,01	11,84609248	10,91908151
0,085	2484,5	5,945339785	10,01	11,8344505	11,11300748
0,0852	2484,5	5,945058543	10,01	11,81221169	11,32262901
0,0854	2484,5	5,944666534	10,01	11,77889735	11,54740712
0,0856	2484,5	5,944273825	10,01	11,73871831	11,79244207
0,0858	2484,5	5,943944971	10,01	11,7000561	12,05951147
0,0861	2484,229766	5,943745552	10,01	11,67300411	12,3525512
